Sr. No.,State/UT Solar Potential,
"",(GWp) #,
1.,Andhra Pradesh,38.44
2.,Arunachal Pradesh,8.65
3.,Assam,13.76
4.,Bihar,11.20
5.,Chhattisgarh,18.27
6.,Delhi,2.05
7.,Goa,0.88
8.,Gujarat,35.77
9.,Haryana,4.56
10.,Himachal Pradesh,33.84
11.,Jammu & Kashmir,111.05
12.,Jharkhand,18. 18
13.,Karnataka,24.70
14.,Kerala,6.11
15.,Madhya Pradesh,61.66
16.,Maharashtra,64.32
17.,Manipur,10.63
18.,Meghalaya,5.86
19.,Mizoram,9.09
20.,Nagaland,7.29
21.,Odisha,25.78
22.,Punjab,2.81
23.,Rajasthan,142.31
24.,Sikkim,4.94
25.,Tamil Nadu,17.67
26.,Telangana,20.41
27.,Tripura,2.08
28.,Uttar Pradesh,22.83
29.,Uttarakhand,16.80
30.,West Bengal,6.26
31.,UTs,0.79
"",TOTAL,748.98
"","# Assessed by National Institute of Solar Energy",
